book,chapter,verse,wlc,kjv,goi,decision,reason,edited
PSA,84,12,יְהוָ֥ה צְבָא֑וֹת אַֽשְׁרֵ֥י אָ֝דָ֗ם בֹּטֵ֥חַ בָּֽךְ,"O LORD of hosts, blessed [is] the man that trusteth in thee.",The LORD of hosts: happy is the man who trusts in you.,edit,"GOI's 'The LORD of hosts: happy is the man...' turns the vocative into a colon-separated heading/label rather than integrating it into the address — reads like a caption, not a prayer opening.","LORD of hosts, blessed is the man who trusts in you."
PSA,86,3,חָנֵּ֥נִי אֲדֹנָ֑י כִּ֥י אֵלֶ֥יךָ אֶ֝קְרָ֗א כָּל הַיּֽוֹם,"Be merciful unto me, O Lord: for I cry unto thee daily.","Have mercy on me, (my) Lord, for to you I call (in) all (manner) day.",edit,"GOI text contains multiple unresolved bracket/placeholder artifacts — '(my)' before Lord, plus '(in)' and '(manner)' inserted mid-sentence — corrupting an otherwise simple clause.","Have mercy on me, my Lord, for to you I call all the day."
PSA,86,4,שַׂ֭מֵּחַ נֶ֣פֶשׁ עַבְדֶּ֑ךָ כִּ֥י אֵלֶ֥יךָ אֲ֝דֹנָ֗י נַפְשִׁ֥י אֶשָּֽׂא,"Rejoice the soul of thy servant: for unto thee, O Lord, do I lift up my soul.","Gladden the soul of your servant, for to you, my Lord, my soul I lift up.",no_edit,"GOI's '...for to you, my Lord, my soul I lift up' uses the pronoun 'you' immediately before bare 'my Lord' — valid apposition.",
PSA,86,12,אוֹדְךָ֤ אֲדֹנָ֣י אֱ֭לֹהַי בְּכָל לְבָבִ֑י וַאֲכַבְּדָ֖ה שִׁמְךָ֣ לְעוֹלָֽם,"I will praise thee, O Lord my God, with all my heart: and I will glorify thy name for evermore.","I will praise you, my Lord God, with all my heart, and I will honor your name forever.",no_edit,"GOI's 'I will praise you, my Lord God...' uses the pronoun 'you' immediately before bare 'my Lord God' — valid apposition.",
PSA,88,1,שִׁ֥יר מִזְמ֗וֹר לִבְנֵ֫י קֹ֥רַח לַמְנַצֵּ֣חַ עַל מָחֲלַ֣ת לְעַנּ֑וֹת מַ֝שְׂכִּ֗יל לְהֵימָ֥ן הָאֶזְרָחִֽי יְ֭הוָה אֱלֹהֵ֣י יְשׁוּעָתִ֑י יוֹם צָעַ֖קְתִּי בַלַּ֣יְלָה נֶגְדֶּֽךָ,"A Song [or] Psalm for the sons of Korah, to the chief Musician upon Mahalath Leannoth, Maschil of Heman the Ezrahite. O LORD God of my salvation, I have cried day [and] night before thee:","A song, a psalm for the Korahites, to the director, upon Mahalath for the afflicted, a Maschil of Heman the Ezrahite. The LORD, God of my salvation, by day I cried out, and by night before You.",no_edit,"GOI's 'The LORD, God of my salvation, by day I cried out...before You' is a title-chain vocative followed by a 1st-person clause that references the addressee via a resumptive 2nd-person pronoun ('before You') — a valid construction (cf. Psa 30:2). No edit needed.",
PSA,89,8,יְהוָ֤ה אֱלֹ֘הֵ֤י צְבָא֗וֹת מִֽי כָֽמ֖וֹךָ חֲסִ֥ין יָ֑הּ וֶ֝אֱמֽוּנָתְךָ֗ סְבִיבוֹתֶֽיךָ,"O LORD God of hosts, who [is] a strong LORD like unto thee? or to thy faithfulness round about thee?","The LORD God of hosts, who is like you, mighty Jah? And your faithfulness surrounds you.",no_edit,"GOI's 'The LORD God of hosts, who is like you...' is a title-chain vocative immediately followed by a resumptive 2nd-person rhetorical question ('who is like you') — valid left-dislocation (cf. 2Ki 19:15, Isa 37:16). No edit needed.",
PSA,89,15,אַשְׁרֵ֣י הָ֭עָם יוֹדְעֵ֣י תְרוּעָ֑ה יְ֝הוָ֗ה בְּֽאוֹר פָּנֶ֥יךָ יְהַלֵּכֽוּן,"Blessed [is] the people that know the joyful sound: they shall walk, O LORD, in the light of thy countenance.",Blessed the people knowing the shout; the LORD in the light of your face they walk.,edit,"GOI's 'the LORD in the light of your face they walk' inserts the title with no comma/vocative marker into a clause whose grammatical subject is 'they' (the people), producing a garbled, hard-to-parse sentence. Needs the vocative set off, matching WLC/KJV's clearer structure.","Blessed the people knowing the shout; O LORD, in the light of your face they walk."
PSA,94,1,אֵל נְקָמ֥וֹת יְהוָ֑ה אֵ֖ל נְקָמ֣וֹת הוֹפִֽיַע,"O LORD God, to whom vengeance belongeth; O God, to whom vengeance belongeth, shew thyself.","God of vengeance, the LORD; God of vengeance, shine forth.",no_edit,"GOI's 'God of vengeance, the LORD; God of vengeance, shine forth' restates the title in apposition right after an already-established vocative ('God of vengeance'), in a repeated parallel structure. No edit needed.",
PSA,99,8,יְהוָ֣ה אֱלֹהֵינוּ֮ אַתָּ֪ה עֲנִ֫יתָ֥ם אֵ֣ל נֹ֭שֵׂא הָיִ֣יתָ לָהֶ֑ם וְ֝נֹקֵ֗ם עַל עֲלִילוֹתָֽם,"Thou answeredst them, O LORD our God: thou wast a God that forgavest them, though thou tookest vengeance of their inventions.","Jehovah our God, you answered them; God, you were their support, and avenger of their deeds.",no_edit,"GOI's 'Jehovah our God, you answered them; God, you were their support...' is bare-name address (no article) with resumptive 'you'. No edit needed.",
PSA,101,1,לְדָוִ֗ד מִ֫זְמ֥וֹר חֶֽסֶד וּמִשְׁפָּ֥ט אָשִׁ֑ירָה לְךָ֖ יְהוָ֣ה אֲזַמֵּֽרָה,"A Psalm of David. I will sing of mercy and judgment: unto thee, O LORD, will I sing.","A psalm of David. I will sing of favour and judgment; to you, the LORD, I will sing.",no_edit,"GOI's '...to you, the LORD, I will sing' uses the pronoun 'you' immediately before the title — valid apposition.",
PSA,102,1,תְּ֭פִלָּה לְעָנִ֣י כִֽי יַעֲטֹ֑ף וְלִפְנֵ֥י יְ֝הוָ֗ה יִשְׁפֹּ֥ךְ שִׂיחֽוֹ יְ֭הוָה שִׁמְעָ֣ה תְפִלָּתִ֑י וְ֝שַׁוְעָתִ֗י אֵלֶ֥יךָ תָבֽוֹא,"A Prayer of the afflicted, when he is overwhelmed, and poureth out his complaint before the LORD. Hear my prayer, O LORD, and let my cry come unto thee.","A prayer of a poor man when he is faint, and before the LORD he pours out his complaint. Jehovah, hear my prayer; let my crying come to you.",no_edit,"The first 'the LORD' is the psalm's own 3rd-person narrative superscription (matching KJV's 'poureth out his complaint before the LORD', correctly not vocative); the second sentence ('Jehovah, hear my prayer') is bare-name imperative address. No edit needed.",
PSA,108,5,ר֣וּמָה עַל שָׁמַ֣יִם אֱלֹהִ֑ים וְעַ֖ל כָּל הָאָ֣רֶץ כְּבוֹדֶֽךָ,"Be thou exalted, O God, above the heavens: and thy glory above all the earth;","Exalt God above the heavens, and your glory above all the earth.",edit,"WLC's imperative ('be exalted!') is a 2nd-person reflexive command addressed to God to exalt Himself. GOI's 'Exalt God above the heavens' reads as a transitive command to a third party to exalt God — a person/voice error, not merely a missing 'O'.","Be exalted, O God, above the heavens, and your glory above all the earth."
PSA,109,21,וְאַתָּ֤ה יְה֘וִ֤ה אֲדֹנָ֗י עֲֽשֵׂה אִ֭תִּי לְמַ֣עַן שְׁמֶ֑ךָ כִּי ט֥וֹב חַ֝סְדְּךָ֗ הַצִּילֵֽנִי,"But do thou for me, O GOD the Lord, for thy name’s sake: because thy mercy [is] good, deliver thou me.","But you, God, (my) Lord, act for me because of your renown, for your mercy is good; deliver me.",edit,"GOI text contains a literal, unresolved '(my)' placeholder before 'Lord' — the same recurring data artifact seen elsewhere (Deut 3:24, Amos 7:5, Jer 32:25, Isa 38:16, Psa 51:15, 79:12, 86:3).","But you, God, my Lord, act for me because of your renown, for your mercy is good; deliver me."
PSA,119,12,בָּר֖וּךְ אַתָּ֥ה יְהוָ֗ה לַמְּדֵ֥נִי חֻקֶּֽיךָ,"Blessed [art] thou, O LORD: teach me thy statutes.","Blessed are you, the LORD, who teaches me your statutes.",no_edit,"GOI's 'Blessed are you, the LORD, who teaches me...' uses the pronoun 'you' immediately before the title — valid apposition.",
PSA,119,55,זָ֘כַ֤רְתִּי בַלַּ֣יְלָה שִׁמְךָ֣ יְהוָ֑ה וָֽ֝אֶשְׁמְרָ֗ה תּוֹרָתֶֽךָ,"I have remembered thy name, O LORD, in the night, and have kept thy law.","I remembered your name, the LORD, in night, and I kept your law.",no_edit,"GOI's 'I remembered your name, the LORD, in night...' places the title in direct apposition to 'your name' (cf. Psa 54:6, Lam 3:55). No edit needed.",
PSA,119,57,חֶלְקִ֖י יְהוָ֥ה אָמַ֗רְתִּי לִשְׁמֹ֥ר דְּבָרֶֽיךָ,"CHETH. [Thou art] my portion, O LORD: I have said that I would keep thy words.",My portion is the LORD; I have said that I would keep Your word.,edit,"GOI's 'My portion is the LORD' is a 3rd-person declarative predicate, but the following clause addresses the same referent in 2nd person ('keep Your word') — WLC's bare nominal clause must be vocative here since the next clause already presumes direct address. Person mismatch, same bug pattern as Psa 30:3/71:17.","You are my portion, O LORD; I have said that I would keep Your word."
PSA,119,64,חַסְדְּךָ֣ יְ֭הוָה מָלְאָ֥ה הָאָ֗רֶץ חֻקֶּ֥יךָ לַמְּדֵֽנִי,"The earth, O LORD, is full of thy mercy: teach me thy statutes.",The LORD's favour has filled the earth; teach me your statutes.,edit,"GOI's 'The LORD's favour has filled the earth' is 3rd-person declarative, but the following clause is a 2nd-person imperative to the same referent ('teach me your statutes') — person mismatch, same bug pattern as row 129.","Your mercy, O LORD, fills the earth; teach me your statutes."
PSA,119,89,לְעוֹלָ֥ם יְהוָ֑ה דְּ֝בָרְךָ֗ נִצָּ֥ב בַּשָּׁמָֽיִם,"LAMED. For ever, O LORD, thy word is settled in heaven.",alway the LORD your word stands in the heavens,edit,"GOI's 'alway the LORD your word stands in the heavens' has no punctuation separating the vocative from the clause, reading as a garbled run-on.","Forever, O LORD, your word stands in the heavens."
PSA,119,108,נִדְב֣וֹת פִּ֭י רְצֵה נָ֣א יְהוָ֑ה וּֽמִשְׁפָּטֶ֥יךָ לַמְּדֵֽנִי,"Accept, I beseech thee, the freewill offerings of my mouth, O LORD, and teach me thy judgments.","May the free offerings of my mouth please the LORD, and teach me your judgments.",edit,"GOI's 'May the free offerings of my mouth please the LORD' is 3rd-person ('please the LORD' — LORD as object), but the following clause is a 2nd-person imperative to the same referent ('teach me your judgments') — person mismatch, same bug pattern as rows 129-130.","May the free offerings of my mouth please you, O LORD, and teach me your judgments."
PSA,119,137,צַדִּ֣יק אַתָּ֣ה יְהוָ֑ה וְ֝יָשָׁ֗ר מִשְׁפָּטֶֽיךָ,"TZADDI. Righteous [art] thou, O LORD, and upright [are] thy judgments.","You are righteous, the LORD, and your judgments are upright.",no_edit,"GOI's 'You are righteous, the LORD, and your judgments are upright' uses the pronoun 'You' immediately before the title — valid apposition.",
PSA,125,4,הֵיטִ֣יבָה יְ֭הוָה לַטּוֹבִ֑ים וְ֝לִֽישָׁרִ֗ים בְּלִבּוֹתָֽם,"Do good, O LORD, unto [those that be] good, and to [them that are] upright in their hearts.","The LORD has done good to the good, and to the upright in their hearts.",edit,"WLC's imperative ('do good!') is a 2nd-person petition addressed to God. GOI's 'The LORD has done good...' recasts it entirely as a 3rd-person indicative statement, changing the verse's mood from petition to report — a real correctness error, not merely a missing 'O'.","Do good, O LORD, to the good, and to the upright in their hearts."
PSA,130,1,שִׁ֥יר הַֽמַּעֲל֑וֹת מִמַּעֲמַקִּ֖ים קְרָאתִ֣יךָ יְהוָֽה,"A Song of degrees. Out of the depths have I cried unto thee, O LORD.","A song of the steps: from the depths I called to you, the LORD.",no_edit,"GOI's '...I called to you, the LORD' uses the pronoun 'you' immediately before the title — valid apposition.",
PSA,135,13,יְ֭הוָה שִׁמְךָ֣ לְעוֹלָ֑ם יְ֝הוָ֗ה זִכְרְךָ֥ לְדֹר וָדֹֽר,"Thy name, O LORD, [endureth] for ever; [and] thy memorial, O LORD, throughout all generations.","The LORD, your name is forever; the LORD, your remembrance to all generations.",no_edit,"GOI's 'The LORD, your name is forever; the LORD, your remembrance...' is a title immediately followed by a resumptive 2nd-person possessive ('your') both times — valid left-dislocation. No edit needed.",
PSA,138,8,יְהוָה֮ יִגְמֹ֪ר בַּ֫עֲדִ֥י יְ֭הוָה חַסְדְּךָ֣ לְעוֹלָ֑ם מַעֲשֵׂ֖י יָדֶ֣יךָ אַל תֶּֽרֶף,"The LORD will perfect [that which] concerneth me: thy mercy, O LORD, [endureth] for ever: forsake not the works of thine own hands.","The LORD will fulfill for me; the LORD, Your steadfast favour endures perpetually—do not forsake the works of Your hands.",no_edit,"The first clause ('The LORD will fulfill for me') is genuinely 3rd person in WLC itself (יְהוָה֮ יִגְמֹ֪ר, matching KJV's own 3rd-person 'The LORD will perfect...'), not an error. The second clause ('the LORD, Your steadfast favour endures...') is title + immediate resumptive 'Your' — valid apposition. No edit needed.",
PSA,139,19,אִם תִּקְטֹ֖ל אֱל֥וֹהַּ רָשָׁ֑ע וְאַנְשֵׁ֥י דָ֝מִ֗ים ס֣וּרוּ מֶֽנִּי,"Surely thou wilt slay the wicked, O God: depart from me therefore, ye bloody men.","If God kills the wicked, then men of blood turn away from me.",edit,"WLC's verb (תִּקְטֹ֖ל) is 2nd-person ('you will slay'), addressed directly to God — matching KJV's 'thou wilt slay... O God'. GOI's 'If God kills the wicked' recasts it as a 3rd-person conditional statement, changing both the person and the mood (petition/assertion vs. hypothetical) — a real correctness error, not merely a missing 'O'.","Surely you will slay the wicked, O God; therefore depart from me, you men of blood."
PSA,139,23,חָקְרֵ֣נִי אֵ֭ל וְדַ֣ע לְבָבִ֑י בְּ֝חָנֵ֗נִי וְדַ֣ע שַׂרְעַפָּֽי,"Search me, O God, and know my heart: try me, and know my thoughts:","Search me, God, and know my heart; test me and know my thoughts.",no_edit,"GOI's 'Search me, God, and know my heart...' is bare-name imperative address (no article). No edit needed.",
PSA,140,7,יְהֹוִ֣ה אֲ֭דֹנָי עֹ֣ז יְשׁוּעָתִ֑י סַכֹּ֥תָה לְ֝רֹאשִׁ֗י בְּי֣וֹם נָֽשֶׁק,"O GOD the Lord, the strength of my salvation, thou hast covered my head in the day of battle.","God, (my) Lord, the strength of my deliverance, a shield over my head in the day of battle.",edit,"GOI text contains a literal, unresolved '(my)' placeholder before 'Lord' — the same recurring data artifact seen throughout this dataset (Deut 3:24, Amos 7:5, Jer 32:25, Isa 38:16, Psa 51:15, 79:12, 86:3, 109:21).","God, my Lord, the strength of my deliverance, a shield over my head in the day of battle."
PSA,141,8,כִּ֤י אֵלֶ֨יךָ יְהֹוִ֣ה אֲדֹנָ֣י עֵינָ֑י בְּכָ֥ה חָ֝סִ֗יתִי אַל תְּעַ֥ר נַפְשִֽׁי,"But mine eyes [are] unto thee, O GOD the Lord: in thee is my trust; leave not my soul destitute.","For to you, God my Lord, are my eyes; in you I take refuge; do not pour out my soul.",no_edit,"GOI's 'For to you, God my Lord, are my eyes...' is bare-name address (no article) with the pronoun 'you' immediately preceding. No edit needed.",
PSA,144,5,יְ֭הוָה הַט שָׁמֶ֣יךָ וְתֵרֵ֑ד גַּ֖ע בֶּהָרִ֣ים וְֽיֶעֱשָֽׁנוּ,"Bow thy heavens, O LORD, and come down: touch the mountains, and they shall smoke.","Jehovah, bow down the heavens and come down; touch the mountains so that they smoke.",no_edit,"GOI's 'Jehovah, bow down the heavens and come down...' is bare-name imperative address (no article). No edit needed.",
PSA,144,9,אֱֽלֹהִ֗ים שִׁ֣יר חָ֭דָשׁ אָשִׁ֣ירָה לָּ֑ךְ בְּנֵ֥בֶל עָ֝שׂ֗וֹר אֲזַמְּרָה לָּֽךְ,"I will sing a new song unto thee, O God: upon a psaltery [and] an instrument of ten strings will I sing praises unto thee.","God, a new song I will sing to you; on a psaltery of ten strings I will make music to you.",no_edit,"GOI's 'God, a new song I will sing to you...' is bare-name address (no article) with resumptive 'you'. No edit needed.",
